BRAND,MODEL,VEHICLE CLASS,ENGINE SIZE L,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL CONSUMPTION (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),CO2_Emissions(g/km)
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5.0,8.0,AS6,Z,15.7,10.4,13.3,21,311
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26,251
AUDI,A8 QUATTRO,MID-SIZE,4.0,8.0,AS8,Z,12.9,8.0,10.7,26,249
SUBARU,WRX,COMPACT,2.5,4.0,M6,Z,13.8,10.2,12.2,23,285
CHEVROLET,SONIC RS,COMPACT,1.4,4.0,M6,,8.9,7.0,8.0,35,189
INFINITI,Q50,MID-SIZE,3.0,6.0,AS7,Z,12.1,8.1,10.3,27,242
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.7,9.2,11.1,25,260
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,,20.7,12.9,17.2,16,404
CADILLAC,CTS AWD,MID-SIZE,3.6,6.0,AS8,X,12.2,8.5,10.5,27,247
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6.0,A6,X,13.0,9.2,11.3,25,265
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4.0,M6,Z,9.4,7.6,8.6,33,201
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10.0,AM7,Z,16.4,11.4,14.2,20,331
BMW,428i COUPE,COMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31,211
BMW,X5 M,SUV - STANDARD,4.4,8.0,AS8,Z,16.6,12.1,14.6,19,343
SUBARU,WRX,COMPACT,2.0,4.0,AV8,Z,12.5,9.5,11.2,25,254
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,16.2,11.5,14.1,20,330
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,E,16.8,10.3,13.9,20,229
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,20.9,14.5,18.0,16,300
CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,M5,,7.8,5.8,6.9,41,162
JEEP,RENEGADE,SUV - SMALL,1.4,4.0,M6,X,9.9,7.5,8.8,32,207
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,X,14.1,9.5,12.0,24,282
ALFA ROMEO,4C,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34,197
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,E,18.7,12.9,16.1,18,264
NISSAN,JUKE NISMO RS,STATION WAGON - SMALL,1.6,4.0,M6,Z,8.9,7.5,8.3,34,194
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,AS6,X,11.0,7.4,9.4,30,219
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6.0,AV,X,12.1,8.9,10.7,26,251
MAZDA,MX-5,TWOSEATER,2.0,4.0,AS6,Z,89.0,6.5,7.8,36,183
PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6.0,AM7,Z,10.9,7.7,9.5,30,222
SUBARU,BRZ,MINICOMPACT,2.0,4.0,AS6,Z,9.6,7.0,8.4,34,197
MERCEDES-BENZ,AMG S 63,FULL-SIZE,5.5,8.0,AS7,Z,15.7,10.1,13.2,21,313
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4.0,M6,X,9.3,6.4,8.0,35,189
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4.0,A6,X,9.6,7.3,8.6,33,200
SUBARU,IMPREZA AWD,COMPACT,2.0,4.0,AV6,X,8.5,6.4,7.6,37,177
JEEP,COMPASS,SUV - SMALL,2.0,4.0,M5,,10.3,7.8,9.2,31,214
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6.0,A9,X,12.2,9.0,10.8,26,253
PORSCHE,PANAMERA 4S,FULL-SIZE,3.0,6.0,AM7,Z,13.4,8.8,11.4,25,267
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8.0,AS7,Z,19.0,16.5,17.9,16,401
PORSCHE,PANAMERA TURBO,FULL-SIZE,4.8,8.0,AM7,Z,15.3,9.7,12.8,22,300
CADILLAC,CT6,FULL-SIZE,2.0,4.0,AS8,Z,11.0,7.6,9.5,30,222
DODGE,CHALLENGER,MID-SIZE,5.7,,M6,X,15.6,10.0,13.1,22,307
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.8,,A6,D,12.0,8.2,10.3,27,277
BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,11.3,7.1,9.4,30,221
BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.9,8.1,10.2,28,238
BUICK,ENVISION AWD,SUV - SMALL,2.0,4.0,A6,Z,11.8,9.1,10.6,27,248
GMC,YUKON 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21,310
MITSUBISHI,RVR,SUV - SMALL,2.0,4.0,M5,X,10.3,8.0,9.3,30,214
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4.0,A6,X,11.5,8.2,10.0,28,235
MASERATI,GHIBLI S,MID-SIZE,3.0,6.0,AS8,Z,14.5,10.0,12.5,23,293
MAZDA,CX-5 4WD,SUV - SMALL,2.0,4.0,AS6,X,9.3,7.6,8.5,33,199
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.5,9.1,11.0,26,257
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.8,7.7,9.4,30,252
HONDA,ACCORD COUPE,MID-SIZE,3.5,6.0,M6,X,12.9,8.3,10.9,26,253
DODGE,CHARGER,FULL-SIZE,3.6,6.0,A8,X,12.4,7.7,10.3,27,240
BMW,X4 M40i,SUV - SMALL,3.0,6.0,AS8,Z,12.8,9.5,11.3,25,264
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6.0,AM7,Z,11.7,8.5,10.2,28,240
MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,,AS7,Z,13.4,8.9,11.4,25,268
BUICK,REGAL,MID-SIZE,2.0,4.0,AS6,Z,11.4,7.9,9.8,29,231
VOLVO,S60 T6,COMPACT,2.0,4.0,AS8,Z,10.6,7.7,9.3,30,218
LEXUS,CT 200h,COMPACT,1.8,4.0,AV,X,5.5,5.9,5.7,50,132
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4.0,AS6,X,8.2,5.9,7.2,39,169
MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8.0,AS7,,12.9,9.6,11.4,25,270
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,X,13.7,8.9,11.5,25,271
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8.0,A8,,16.0,11.2,13.9,20,325
JEEP,CHEROKEE,SUV - SMALL,2.4,4.0,A9,X,10.9,7.7,9.5,30,223
CHEVROLET,SONIC RS,COMPACT,1.4,,AS6,X,9.5,7.1,8.4,34,195
